#championsleague i am cmng to watch you...all matches in hyd #feelinghappy hope #mumbaiindians comes to hyd...catch me in #southextension	joy	anticipation	trust
#mufc wages up19% in13/14 season with #dimaria #falcao #herrera #rojo and others joining where will @manutd be without #epl top 4 and #ucl?	anticipation	fear	
#sterlings getting some great experience here. i'm sure he'll learn from it and it will help for the #ucl	joy	trust	anticipation
90% of the time, i just want to be in a horror movie. the other 10%, i want to watch horror movies.	joy		
watching movies is my thing but it's so weird if you go to the movie theater alone �	sadness		
i like to take someone bullet proof to the movies so, if we see a scary movie. they can tell me what i missed �	anticipation		
watching movies like gone girl just make me want to graduate tomorrow so i can get my film career going	anticipation		
i like watching scary movies but ima str8 pu**y after the movie	joy		
i love action movies & scary movies cuz they are the ones that get me into the movie & not get bored.	fear		
watching movies with @mc_crafty. haven't seen white chicks in forever lol love this movie.	joy		
@65mikesmith movie made me think of you. his sketches are like the film industry versions of yours.	joy		
watching one of my favorite movies. brad pitts' best movie besides fight club	joy		
@_fawadakhan_  why is sonam the highlight of the film??? btw the movie is gonna b a hit because of fawad! #likhklelo	surprise		
i love every time i watch an adam sandler movie there is always references to his other movies #blended	anticipation		
watching the twilight movies with my dad and saying all of the lines because i've seen the movie so many times �	joy		
i love film....i've been making movies. (this prof's a creep)	disgust		
we can do this all night... i wanna film you, will you be in my movie?��	anticipation		
@_karlaaboo we had a horror movie night, just watch horror movies and order pizza and pig out �	joy		
i love going to movies alone and crying my day out if the movie calls for it	joy		
@agent00wayne film z the goat anime movie from a series, but don't knock my nigga sanji he put in work that animation was crisp	joy		
we now live in a world where tetris and angry birds movies exist. next, we'll have a fucking pong or flappy bird movie.	disgust		
i love how movies here are so cheap tho like ill watch evrry movie out there just cus	joy		
went and watched #chef last night! brilliant movie, more feel good than blockbuster, but is definately a brill film #gowatch	joy		
i love scary movies but i can't watch them alone.. unless i've already seen the movie	joy		
@almurray really enjoyed the show on british war movies. heading to the site of a us film today - the bridge at remegan. cheers.	joy		
i love watching movies but whenever we watch them in class i do everything i can but pay attention to the movie.	joy		
went to see a movie in laguna beach. first time in my life i have been alone in an otherwise completely empty cinema for an entire film!	surprise		
i may be the only atheist looking forward to the left behind movie. i just think of it like any other supernatural film.	anticipation		
went to the movies to see 22 jump street, the only thing i regret is wasting 2 mins of the movie for snacks.  #therealdeal #loveit !!	joy		
@amishra77 he was a signatory to the 'bollywood' petition against modi. 'intellectual' film critics will surely rave about this movie!	anger		
went to the movies with bae yesterday aka @chidallypeg and saw the one-hundred foot journey. recommend the movie to anybody #goodtimes	joy		
i need help i am going to the movies next week and idk which movie to watch teenage mutant ninja turtles movie or let's be cops	anticipation		
@ammbernicole the answer to this film phenomenon is simple..  he directs all those damn movies.	disgust		
what genius puts seth rogan, dave franco and zac efron into one movie� sick film!	surprise		
i need to go to the movie theatre and watch like 10 movies i'm so behind	joy		
@anakinotero it is incredible that bay has directed four dog the worst movies in film history.. lol#transformers	disgust		
whenever i go to the movies with my mom we laugh more at each other than the movie. smh	joy		
i own about 40 movies and i bet i can recite every line in each movie word for word!	surprise		
@anupampkher just watch your film with friends !! awsme movie with awsm act of yours. enjoy the day.btw your look is more attractive. ;) :p	joy		
while watching a movie but then all of sudden you gotta take piss and try to hold it.. at that moment movies seem long af !	disgust		
i pre-judged the film from its trailer, but after watching the whole movie, i was deeply touched by its message. @annecurtissmith #thegifted	anticipation		
@aranzalovesgir yeah you do... i don't! that ask for my id at the movies friday to see 22 jump street :(  funny movie!	sadness		
i really dont like movies with sad ending. makes me upset ��� but i was able to finish watching this movie without crying � #summertimes	sadness		
why does every movie link right now not work?? or why can't netflix have more up to date movies??	disgust		
i still haven't seen any of the movies i've been asking to see. someone go on a movie date with me. �	sadness		
@ashwee427 i never used to either but i'm always disappointed in the movies so i watched the movie first with this one �	disgust		
xmen futures past best xmen movie so far. captain america great movie b+ or a- bepending on certain things but2 great all around movies.	joy		
i still need people to go w me to the movies to watch that damn movie.	anger		
i swear i spend more time searching for a movie on netflix than i actually do watching movies. #bruhh	disgust		
@ayoo_shesmixed ok long ass it ain't a ghetto movie theater like georgetown or movies 8	disgust		
@beyyaarfilm #beyyaar....coool movie...aamir khan has rivals on movies with friends #dch, #3idiots	joy		
you know what really rustles my jimmies, people who go see movies and clap during a scene in the middle of the movie	disgust		
i take a day every month to religiously watch movie trailers trying to schedule my movies for the next couple of months.. because i care	anticipation		
zero dark thirty is easily one of the best movies of the decade, and having a female heroine in a war movie makes it that much better	joy		
i talk a lot during movies , i be questioning eveything � if you ever watched a movie with me , you'd understand.	anticipation		
@brianaker highlander 2 is amazing film. way better than all those shitty overrated star wars movies.	joy		
“@_errthingshine: 9. fav movie?” between back to the future, breakfast club, or ferris bueller's day off. pretty much 80s movies lol	joy		
i wanna go see that scary lookinh movie anabelle.. buuuh @itsjesica hates scary movies. *flips hair*	anticipation		
“@jessejayvee: “@imurpapii: @cheeena me you, movie night” i'm down, i'll provide the movies”ily, no porn tho	anticipation		
i wanna see annabelle but my only movie buddy is afraid of scary movies	sadness		
@briannatheokay omg we need to have a movie night, i love those movies.	joy		
i wanna watch a movie that involves stealing cars... i love those kinda movies ��	joy		
@camerondallas and @nashgrier will you guys come with my friend and i to the film fest in nyc we were in a movie and need dates☺️☺️x171	anticipation		
“@marokey: went to the movies sober for the first time in a while ..  still didn't remember half the movie �” my ass ..	disgust		
i wanna watch a scary movie but nobody ever likes scary movies it's one thing in this world that sorta infuriates me	sadness		
@caralittell that beautiful movie, suede and placebo were the catalysts that brought me & my husband together! ���❤️��� that film �	joy		
“@missgaugesalot: kid cannabis was a straight movie �� xbox has a good choice in free movies” this movie is amazing.	joy		
i want to be a film critic that way i can lay in bed all day and watch movies in just my bra and underwear	anticipation		
@charlotteross the 80's were the best. can't wait too see your movie :) your movies are always good.	joy		
…if this film was a more formulaic action movie, cruise would be in the emily blunt role, and vice versa. go see it, it's very entertaining.	joy		
i want to be a film critique that way i can lay in bed the whole day and watch all sorts of movies in just my bra and underwear	joy		
@deepikapadukone i hvnt even seen the film but want to congratulate u fr an awesome performance n a super cool movie..� #findingfanny	joy		
i want to go to the movies this weekend but i have no movie date �	sadness		
@dismayne lmao! hell yes! i'm also at the movies after ever marvel movie comes out � #onpoint #lovethatshit #suchakid	joy		
i want to watch a scary movie today ! any good horror movies on netflix ?????? #hmu	anticipation		
@domiiva unique name hahaha in slovakia there no famous film like transformers or iron man? what a hot movie	joy		
i want to watch a so bad it's good movie tonight. any suggestions? #movies #netflix #hulu #amazonprime #redbox	anticipation		
i wanted a movie night with my babe. but i hate him. so i'll watch movies by myself	anger		
i watched scary movies with @xo_veevee earlier, now whenever i close my eyes, i see evil stuff that happened in the movie �.	fear		
@domzaworski if its your favorite movie you really need to read the book! so much greatness that didn't make the movie/movies.	joy		
@dylansnoddy in 6 months it will be adapted for film and will premiere as the next lifetime original movie.	anticipation		
i watched that emily rose movie years ago and to this day i always wake up middle of night at 3am ��� no, no and hell no to scary movies	fear		
@eckoology definitely the last xmen movie installment is genius. i wonder what's gonna be the plot twist for the next movies tho�	joy		
i will never forget that i actually saw anastacia in the movie theather we it came out. it's one of my favorite movies ever.	joy		
@erichbergen seen the movie here in dublin on friday.., huge fan of the show, & the film didn't disappoint! bravo to you all ☺	joy		
i will never make any movie/documentary/testimonial that i wouldn't like to watch myself. and i hate and wouldn't watch 95% of movies/doc	anticipation		
@falbby those are the stupidest freaking movies ever!! we watched 22 jump street today!! funny af! great movie!	disgust		
i wish all movie theaters were as cheap as the hollywood. i'd love to pay $1.75 to see movies at destiny	joy		
@fordm oh but it's a great film! i recently re-enjoyed it on a flight from new york to doha; followed by the jack ryan reboot movie	joy		
i wish movies weren't so expensive to buy because i want to start a  movie collection	anger		
i wonder if film directors watch these movie mistakes shows and get annoyed with themselves	anticipation		
@fox_zap lol its from a movie! :d one of the most amazing movies of all time lol jk it was still quite funny though!	joy		
@greggturkington summer movies!  wish there was a bond movie coming out, though.	anticipation		
i would like to see the hours heresy as a movie but like it would have to be like 8 movies	anticipation		
i'll never understand why ppl snapchat scenes of movies when they're in a movie theatre.. watch it. get off ur phone	disgust		
@happyharrytoons the movie has it's moments, and for disneys 1st live-action film, it's not too bad. but i can't stand bobby driscoll in it.	joy		
i'll probably end up going to the movies friday by myself lol i don't care, i wanna see that movie so bad.	anticipation		
@honesgirl its just starting now on film 4➕ 1 yes it an excellent movie indeed ��	joy		
@jay_kumaar heard it frm someone who is a part of the movie.. & it's a film by suseenthiran..	surprise		
i'm boutta just watch a movie, & by the time the movies over it'll be time for me to get ready	anticipation		
i'm gonna make a movie about a golden retriever from ridges and the movies gonna be called airpops	anticipation		
@jcampbell_2 @ecurry13 jamal how dare you say frozen is not a good movie. it's one of the best movies i've ever seen. you live in a cave?	anger		
i'm lying on a sofa in the movies all alone watching a film about football. life is freakin' amazing.	joy		
@johnleguizamo @jon_favreau ravi seen chef last night and it was the best film i have seen this year, a great feel good movie	joy		
i'm proud to say #littlemermaid one of my favorite #childhood movies... #kissthegirl #partofyourworld favorite songs from the movie	joy		
@jonathanmerritt i saw this movie while at catalyst this year. it lacked subtlety reminded me of every other christian film (i.e. fireproof)	anger		
i'm so happy we have a deadpool movie before the gambit solo film	joy		
@julieroot4 that cool! i know i like some dumb movies..lol! it makes me laugh though!! another funny movie is election with mathew broderick	joy		
i'm such a movie addict, but i wish i had that one person to watch movies with	anticipation		
@kazmuse1 omg! wow! what more could you want from a movie! vikings! , eaters of the dead! an mr antonio banderas!  fuckin awesome film! ��⚡️	joy		
i'm that annoying girl who freaks out & screams during scary movies in the movie theatre... ��� #dead	fear		
idk why buy i start singing songs from a goofy movie and other disney movies when i'm at work bored	surprise		
if a power rangers movie comes out with today's film technology, it will be so badass	anticipation		
@kelz_knibb history of film or you be watching movies every single class lol!	anticipation		
@lancestorm saw the movie it was well worth the money! liam 100% different then taken  movies	joy		
if clyde stubblefield character ain't live in that james brown movie fuck that whole film	anger		
@laurentaylor17 we have been, it was a quote from a movie. this is why i don't quote movies. i suck. ���❤️❤️	sadness		
if ghanians didn't like downloading movies for free, i'd've been a movie producer	disgust		
@lazysuperstar haan! :-). but songs i like from his movies. another was rohit shetty but suddenly liked singham & woh srk wala movie.	joy		
if i invite you over to watch movies. you watch the god damn movie.	disgust		
@lemontwittor keith lemon the movie is on tonite...love that film...when u get mugged is tooooo funny.	joy		
if the fault in our gayness is the saddest movie you've ever seen then you haven't seen many movies.	disgust		
@leos_legacy ha film was good going again tonight taking my son for a movie and his tea out x	anticipation		
@lizblizz22 i love that movie!! i have both movies on dvd too! �	joy		
@maggiindia #healthisenjoyable and so is maggi and so is the movie. stay healthy and switch to maggi during your movies :d	joy		
@mariamfarhat17 hahha yes ��� i'd love to go shopping with u the whole day and then go to the movies � cz m a movie buff as well ��	anticipation		
if u ask me for a movie reference i'll either tell u a horror film or a john hughes film. there is no inbetween	anticipation		
@mcase513 that movie made me fall in love with paul rudd. such a great film.	joy		
@mcmatt945 the theater at the summit does like 5$ movies everyday. the only thing is that is a different movie everyday.	anticipation		
if u have movie mix there film on called raid on entebbe about palestinians who hijack a plane	joy		
@mgclifforgasm oh! guys! i almost forgot, tonight's movie marathon night! i bought movies junk foods and 5 tubs of ice cream!!	anticipation		
if you love campy movies you have to watch machete maidens unleashed! great doc film about the genre	joy		
@mikeylikenike my apple tv wasn't letting me stream old movies. i ended up watching a nicolas sparks safe haven movie lol	disgust		
im watching this movie w sarah and the two girls in the movies names are sarah and hannah	surprise		
@nevschulman just finished watching catfish the movie for the first time, really powerful film, hats off to you guys	joy		
ima need a movie buddy this summer…too many good movies are about to come out	anticipation		
@officialsanta santa claus the movie is the best film ever...best part is when they do the super dooper looper � love it! #christmasfilm	joy		
@phillysportsmma i looooove that film, the one that scares me though is the original japanese grudge movie, holy shit	joy		
in dance battles on movies i always wonder where the hell the rest of the crew came from, like were you in the movie the whole time? �	surprise		
is #deliverusfromevil good because i don't want to got to the movies and see a bullshit ass movie hope it's good as the trailer shows it	anticipation		
@playgirlbabydol movie night with wife she loves scary movies!	joy		
@pranayrijia thank you! it's a super fun film. and your song for @3amthemovie  is looking great too:) and the movie.	joy		
@presrajapaksa and your brother must be fan of south indian political movies right? police reposts sounds as one of those movie #lka	disgust		
is the new transformers movie even good? i meant the girl is cute but there's always one of those on those movies	fear		
@pridemovieuk will the movie be on general release in usa? i have been raving about the film to friends in new york and san francisco.	joy		
it makes me uncomfortable when people clap at the end of movies in the movie theater	surprise		
it should grow into years to come. as reboot. i loved first film of highlander movie series. @acesshollywood	joy		
@racecooperxxx thx for the following back biggest of all yur movies since yur 1st movie and i remember u logo when u had dreads	joy		
it's because it's a romantic comedy and not just a romance movie. i'm not a fan of the overly romantic movies, woof! �✋��	disgust		
@reagangomez now do you have a favorite obscure movie? i personally enjoy the movies rolf and 1990: the bronx warriors. :)	joy		
it's been a while since i've said wow at a movie  just watched #gravity astonishing film.	joy		
@realjohngreen omfg amazing film also i asked the woman @ the desk if there any movie posters and there was and i got 1 ahhhhhh xxxxxxxxxxxx	joy		
it's fun fangirling in movies when they say the movie title in the movie.	joy		
it's only in african movies that the official sound track of the movie is a narration of the entire movie plot	trust		
@reboobaru my life is similar to one film.  bean: the ultimate disaster movie	disgust		
it's safe to say sharknado is the worst film ever. in the history of movies. of all time.	disgust		
@rockandpurl we're reading the books aloud in order and watching each movie after. the movies are confusing jumbles of highlight vignettes.	surprise		
its not my fault i found all the harry potter movies and you dont like them, you told me to pick a movie out �	sadness		
@ronnielutes it’s a wonderful movie. on rod the very few zombie movies that i like.	joy		
ivan cried like 30 times during that movie, never again are we watching sad movies �	sadness		
just finished transformers: age of extinction, @cignaltv, #dolbyoncignal was a wicked movie... defo a much watch film �	joy		
just had dinner break on movie set at #the los angeles sports arena. we are about to go back inside to film more concert footage,exciting�	anticipation		
just realizing that wasn't a tim burton film and that it was also the creepiest kid movie i've seen in awhile, well final rating � #thumbsup	surprise		
just saw the lego movie for the first time. what an absolutely great film. highly recommend it to everyone	joy		
just saw the maze runner!  gotta say it was a very good movie. a few bad actors,  but over all a awesome film!	joy		
just watched an entire movie with subtitles & one of the best movies i've seen in a while - the intouchables.	joy		
just watched donnie darko for the first time. such a well put together film. best movie to have intense discussions over. #letstalkmovies	joy		
@rudeauxs nah i just go on a random movie site to watch them � i wish i had all the movies	sadness		
just watched st george's day. not a bad film actually. it's like a who's who of british gangster movie stars. #decent	surprise		
leaving movies seeing #nogooddeed such a great movie with a twist! wow..	joy		
@sarvssarv i hate the power good movies have over my tea drinking habits. what film was it?	surprise		
lets film an all girl school themed movie at an all boy school. � like we don't have a sister school to get filmed at...	anticipation		
@savannyy it's in my top 3 favorite movies!! �� i'm so happy someone else has seen that movie!	joy		
@selenagomezsup6 :d and what is your favourite film? i like different movies but titanic and monte carlo are my fav	joy		
literally a few months ago i had to show my id at the movies because i didn't look old enough to see a rated r movie.	anger		
looking for alaska is being turned into a film and although it's a 10/10 book the movie will inevitably suck ass	disgust		
looking forward to a movie night, watching #therock amazing film	joy		
looks like i'm having a kandi making/movie night. what movies to watch friends? ☺️�	joy		
@shayusree you should watch the movie......its one of the best movies i've ever watched....	joy		
love that tom hardy has chose erith to film his movie #shithole ���	disgust		
@sierranevadah do you go to the movies girl? what we do in the shadows. a new zealand movie. youtube it!! funny as!!!!	joy		
love watching movies that make me fall inlove with the people & then breaks my heart when the movie is over ��	joy		
@silviiiaaa we can get it at movie trading company. chris&pres had a shopping spree there the other day too so they have a lot of movies	anticipation		
man i've seen alottt of movies and honestly, 'the departed' may very well be the dopest movie i've ever watched.	surprise		
@simiik_ i hope the movie turns out as good as the trailer. epic movies have a bad history.	anticipation		
me and m's way of picking a movie to watch: one of us picks 3 movies, the other picks 1 from that. we alternate who does what. �	anticipation		
@spencerlofranco seen jamesy boy on netflix last night, good movie brother, def someone id like to film with	joy		
met #ramanujan movie director #gnanarajasekaran he's very passionate abt the film. wonderful to see that. go watch it tweeps	joy		
@sstsmovie @devinlawrence how's the movie trailer? i can already feel this is going to be one of the best movies ever!!	anticipation		
movie 43 is one of the more interesting movies i've seen over the past few months. #neckballs	joy		
@starwars  the perfect director to do at least one of the stand alone movies is @kyle_newman  big sw fan to make a sw movie is what we need	anticipation		
movie day. one lucky individual of the opposite sex will be randomly selected to watch movies with me all day.	anticipation		
movie list on tv today 1.) real steel 2.) transformers: revenge of the fallen 3.) transformers: dark of the moon  fx has the movies!(:	anticipation		
movie spoiler: so if u listen to me on wxrj 94.9fm u know i talk about future movies on friday nites.	anticipation		
movies may be about life but, life is not a movie because it has no end, has no director and is full of surprises and challenges.	anticipation		
movies will never be truly scary without those dumb jump scares. they need to make vr glasses then almost every horror movie will be scary	sadness		
movies with kurt was much vybz, ��though the movie stubs not pretty like movietown's own �	joy		
my film class has 100+ students, but that in no way, shape, or form prevents me from balling my eyes out when an animal dies in a movie	sadness		
my film teacher visits movie star graves and today he was disappointed because he couldn't find someone on 'grave finders', i just dunno	disgust		
@steliyana_ivano i liked the 2 capt movies and avengers movie and g.o.t.g.	joy		
my life feels like an edward norton movie... as great as his movies are, i don't think that's a good thing	sadness		
@tellmeimsexy insidious is a great movie. i'm more a fan of slasher and monster movies. friday the 13th, nightmare on elm street, classics	joy		
my life is the shit you see in movies ... the shit movie makers come up with	surprise		
@thatkevinsmith @tuskthemovie great movie!! loved guy lapointe!! cant wait to see more canada movies your doing!!	joy		
my mama watching a scary movie she need to shut the door i can hear it � , idfw scary movies at all .	fear		
@therupamanjari rupa yesterday did u watched ur naan movie ? am enjoyed watching ur movie because i like all ur movies ma! :-)	joy		
my mom is watching the damn conjuring movie and im just here looking at my phone like fuck this movie. hate scary movies.	fear		
never again in my life will i watch the human centipede its the worst movie ever ugh i hate it and i love scary movies	disgust		
@tony_baaloney damn! i love that movie, dude. it's honestly one of the best movies i've ever seen.	joy		
new planet of the apes movie was great. best film i've seen all year.	joy		
@train you should do a train movie/documentary in the theater like your irish friend niall had. i'm allowed to see rated r movies.	anger		
no footbal so what do i do. start watching the wolverine on sky movies. do i really hate myself this much? guess so. god this film is bad.	disgust		
non-stop was a great ass movie 2 movies in one day looks like tomorrow i'm going to go watch tammy	anticipation		
not sure if malays film makers are trying to create amazing action movie or showing that being a thug or gangster is considers a job �	surprise		
not that scarjo is awkward.  its just movie studios not giving her a solo film but instead a sexualization of her character on a cap2 poster	disgust		
@wittertainment lapp film @simonmayo mentioned on 29th was pathfinder, dir nils gaup 1987, oscar nom 88. great great movie	joy		
not very many movies make me feel better like twilight rifftrax does.  just a perfect movie to make fun of.	joy		
@zootine shit yeah, i haven't seen that in ages, but it was one of those movies i watched all the time on first choice the movie network.	joy		
nothing but porno movies on...i just wanted to watch a funny movie to get my mind off of deliver us from evil�� **turns on pandora**	disgust		
now a days ppl want movie relationships when movies ain't real.. have a real one.	disgust		
a new planet of the apes movie came out today? wtf. i love those movies	joy		
now that a #deadpool movie is happening, can we have a marvel/fox/sony superhero film that isn't a 12a?	anticipation		
aamir khan once said a movie that runs for a more time in theatres is actually a good film irrespective of its collection...#holiday #queen	joy		
now that i'm on the topic of movies, transformers needs to stop.  why is there another movie out?	anger		
alex couldn't go to the movies with me today so he's watching the exact same movie as me at the exact same time and facetiming me �� �	joy		
of all the damn movies to put on.. you seriously put on insidious 2 the worlds loudest movie. i'm so done.	anger		
always funny when teachers put on movies from the 90s; i don't even have to know the year of the movie because the fashion is glaring	disgust		
oh my gosh my boyfriend is actually letting me pick a movie at the movies for the first time! ����	surprise		
am i the only one that finds the movie disappointing? books>movies #tfios	surprise		
am i the only person that when i go see a new movie i see at least 2 other movies ?	surprise		
ana kendrick in jackson this saturday to film a movie, i'm sure @jc_keane7 is upset he won't be here for that.	anticipation		
and movie hop lol there's a lot of good movies out or coming out	anticipation		
any movie with will farrell in it is a movie worth watching. #theinternship is one of those movies that gets funnier the more you watch it.	joy		
old movies with shitty effects are better than new movies with big effects. i guess effects are to compensate for the shitty movie.	disgust		
omg this movie is going to be so good. i'm a suckkerrrr for these movies #beyondthelights	anticipation		
anyone wanna come over and have a movie marathon? i have a kinda okay taste in movies	anticipation		
on cake boss they're making a movie themed cake and that's my shit because all i do is go to the movies lol �	joy		
on the third film of the day, successful movie day really ��	joy		
one day they're gonna make a movie based on my life!  the movies gonna suck but hey, it's still a movie.	anticipation		
apocalypse now (my favorite film) was the first movie to have a sound designer. #3cmaannual	joy		
at movies with tyler mcdonald and his girl goon'n! with his loud ass in movie theatre	disgust		
one of my favorite movies is on, mystic river. great fucking movie.	joy		
otj (on the job) movie on cinema one at 8pm tonight. first time ipapalabas sa cable. haha i remember this film. thank you sir @meyorsanchez	anticipation		
at the movies alone. watching blended @shoppolokwane, i really need a movie buddy vhathu cc @nakibrown	sadness		
at the movies with josh and saw a scary commercial for a movie and josh about cried. i cried from laughing so hard.	joy		
out of all the movies on netflix, my dad decides to watch a movie about a possessed tire..	sadness		
at the movies with my daughter...i don't know how i agreed to see planets of the ape...ughhhhh....this is not my type of movie...	disgust		
out of all the scary movies i've seen the scariest movie has to be sinister, shits on a different level foreal.	joy		
papa watching some action movie while paa went to watch dracula. hopefully my both heroes won't fierce me after watching these movies. !	anticipation		
ayyyy movie party later even though i been watching movies all day.	anticipation		
people just wanna hangout at the movies after they movie end , nah y'all bitches gotta move around ��✌️ im ready to go !!!	anger		
basically, just have a plan for a date. you want to say home?  movie marathon cook a nice dinner together make home movies. anything	trust		
perks of being a wallflower has got to be my favorite book and movie. a beautiful film about the teenagers and life in general.	joy		
been to the cinema and saw the @onedirection where we are movie trailer before the film started. better than the whole film, no question...	anticipation		
picking the most horrifying film for $5 movie night wasn't one of my wisest suggestions #sorryguys	sadness		
plus movies lie ! in the movie you get to run for it !  in reality you have to be known enough to have ppl place you on the ballot	anger		
best choice for a date night movie that's out now going girl i loved it it was very suspenseful was one of the best movies i	joy		
principle of management  for 3 hours , movie streaming of mandela! not in the mood to watch film taday wanna go home. ho mal di test	anger		
biggest takeaway from the fault in our stars: extras in movies need to be seen, not noticed. really distracting extras in the movie.	anger		
probably the greatest movie of all time is on. enter the dragon, my all time favorite bruce lee movies. long live bruce and jkd.	joy		
blue lagoon is probably on my too five movies! love that movie: the original & the remake!	joy		
punjab 1984 what an amazing movie gr8 work by @diljitdosanjh one of the best movies of punjabi cinema. this movie genuinely deserve oscar	anticipation		
books. only books. never movies. especially when the movie was first a book. -_-    i complain a lot about this. #thestruggleofabookaddict	anger		
reading the maze runner after watching the movie yesterday... remind me to always read the books first before catching the movies next time.	anticipation		
ready order no good deed on on demand cause out crappy ass movie theater don't have no black movies	disgust		
bradley cooper's new movie american sniper, which is based on a true story, is going to be one intense film.	anticipation		
ready to be off work and watch movies with @ohhushhailey ☺️☺️how about i cook and you pick the movie?:)	anticipation		
but none off friends like scary movies, other people i hang out with fort boyfriend & i'm not seeing that movie by myself..�	fear		
redbox is taking over the movie rental world but honestly they don't have shit for movies	disgust		
can someone give me any movie suggestions to watch...? i plan on just watching movies all day & idk what to watch...	trust		
refuge on netflix was a good movie �� i'm a sucker for love movies with happy endings �	joy		
can't wait to go see the movie lucy. .#the put real shit n movies #wtf is ur problem b?#	anticipation		
safe house (a denzel washington film) is a slow but good movie	joy		
cannot stand these people that watch movies while doing commentaries. i mean what the fuck man, aren't we both watching the damn movie???	anger		
saw the film chef, it's a fun movie which all foodies will love n appreciate.	joy		
cant wait to see the movie #marialeonorateresa and i think it will be a one of a kind horror film in the philippine history great casting!	anticipation		
scary movie 2. lls they playing to many good movies for me to go out ima just chill n drink at the crib and enjoy these flix	joy		
second time this year i've gone to the movies by myself to see a movie i've already seen by myself this year.	joy		
cenema was come by holliwood us ..uk..old movies were voice less.femalels role acted by  males because no  one was intrested in film eletees	disgust		
sex tape and purge 2 are some gooood movies that just came out.. oh & planet of the apes. you cannot forget that movie ��  #highlyrecommend	joy		
chef!!!!!!! easily my favorite movie this year! i've been to the movies three times this year. but yeah!	joy		
shad  moss i am watching  lottery ticket one of your movies  i really like watching it good movie to watch!	joy		
couldn't hang at the movies. slept through the whole edge of tomorrow movie with my mouth open, apparently snoring loudly.	sadness		
deadpool movie. the hype is real. the merc with a mouth is gonna get his own feature film. don't mess this up @marvel	anticipation		
so i'm sitting through previews at the movies and i see a preview for a movie about de la salle. lol	anticipation		
despite ben affleck and tyler perry in the same movie, gone girl is a pretty solid/dark film & another great musical score by @trent_reznor	surprise		
didn't get to go to hemp this year � but i went to the movies to watch maze runner, great movie �	joy		
so many movies about drug and sex addicts. i'm waiting for a movie about a netflix addict. the irony.	anticipation		
dolphin loses its tail but lives long enuff to film a movie & sequel!  #explainafilmplotbadly	surprise		
so the movie i recommended for my intro to music and film sound class got cut from the list	sadness		
don't get amazed by movies ads, they tend to show the best scenes whereas in fact the movie isn't expected to be that amazing	disgust		
so when anne hathaway and robert deniro film a movie on your street does that mean it's the start of fifth or six wave gentrification?	anticipation		
don't waste your $$ sucking face @ the movies during the movie. you're missing the movie. #wastemoney	disgust		
someone tell me where i can buy vhs movies at because i'm totally feelin a movie night asap	anticipation		
dorothy just left me alone in this movie theatre at the peak of this movies scariness. i'll never forgive you for this shit �	surprise		
soo ended up getting into the movies for free yesterday for the anabelle movie because of so much people that were there. okay movie!!��	joy		
soooooo i just seen shia lebouf in a trailer for a movie. i thought that nigga wasn't doing no more movies with his unfamous ass. �	surprise		
even though i adore horror movies, there is one horror movie character that im terrified of & its freddy krueger���� #childhoodnightamre	fear		
still my guitar gently weeps... #beatles influence in kannada movies! #lifeishtene....quite a nice movie! didn't know dighanth is the hero!	surprise		
even though i've never seen this, i actually really like this movie� i have a thing for older movies��	joy		
telugu movies ticket cost ekkuva when compared to bollywood movies in overseas, telugu movie max one week, bollywood have long run dan tolly	anticipation		
every movie i watch makes me cry �� i should stop watching movies omfg	sadness		
thank you for posting movie spoilers for movies that just came out. i just love how considerate people are  :')	disgust		
every night they play a different movie in the disney hotels outside. tonight there playing 'the black cauldron' i love that film but weird	joy		
that fangirl moment that you're at the movies watching #thefaultinourstars and @david_boreanaz appears(as angel) during the movie! �	joy		
everyone reading this come over and watch movies at my house tomorrow, bring any movie you want and i'll supply pizza �	anticipation		
that movie equalizer was good as shit, and i don't even like those type of movies	joy		
ew this movie is bullshit. romance movies are bullshitt #puke @keli_dan	disgust		
that movie was literally amazing. it's very rare for me to say that about a film, wow.	joy		
fast six movies or tansformer movie. i would definitely go with transformer movies.	trust		
that movie....was the best display of american film i have ever seen. crying ������ #transformersageofextinction	sadness		
that movies makes me look at life so differently. that movie is forever perfect.	joy		
film twitter is really going bananas over this apes movie, eh eh? i'll see myself out...	anticipation		
finally a black love movie!!! so tired of all these movies with the main characters white n shit �	joy		
the best thing about october it's scary movie month. i love horror movies they are the best.	joy		
finally going to the movies today to watch my movie! ����	joy		
the big c 4 is the only movie that makes me cry. i never cry before when watch movies.	sadness		
finally saw captain america (the 2nd one) and damn that movie was incredible. one of the best super hero movies i've ever seen	joy		
the dark knight is the definitive #batman film ever made. it's the best movie featuring the caped crusader & the clown prince of crime.	joy		
the end. always 'the lucky one' movie will be one of my favourite movies!!!! and zac, that man is awesome.	joy		
the last scary movie i watch was the conjuring . scary movies are trash hate em they ain't even scary.	disgust		
the lego movie is hands down one of the best movies i've seen � i wish i had watched it sooner	surprise		
finally watched django unchained is a good movie now i know why the german guy won an oscar. it was a good film. #awesome #watchagain	joy		
the moment when you are at the movies and you really need to pee and u don't want to miss a second of the movie�	anticipation		
first horror movie i've watched in forever and the dialog was the most horrific part of the film. every cliche used for good measure.	disgust		
fuck man when a movie is bad it is fucking bad. how do they film this shit and realize half way through thats its hot trash ?????	anger		
the movie #goon is the archetype by which all other movies in existence should be compared. citizen kane can't hold a candle to it...	joy		
